app_id,is_free,,,
34600,0,,,
34620,1,,,
34630,0,,,
34640,0,,,
34660,1,,,
34800,0,,,
34810,0,,,
34820,0,,,
34830,0,,,
34870,0,,,
34880,1,,,
34900,0,,,
34910,1,,,
34920,0,,,
34930,1,,,
35000,0,,,
35030,0,,,
35050,1,,,
35070,0,,,
35110,1,,,
35130,0,,,
35140,0,,,
35150,1,,,
35300,0,,,
35310,0,,,
35320,0,,,
35450,0,,,
35460,0,,,
35480,0,,,
35490,1,,,
35600,0,,,
35700,0,,,
35710,1,,,
35720,0,,,
35800,1,,,
36000,0,,,
36130,0,,,
36150,0,,,
36900,0,,,
36910,0,,,
36920,1,,,
36930,1,,,
37000,0,,,
37210,0,,,
37220,0,,,
37230,0,,,
37240,0,,,
37260,0,,,
37270,0,,,
37280,0,,,
37290,0,,,
37300,0,,,
37310,0,,,
37320,0,,,
37330,0,,,
37340,0,,,
37360,0,,,
37370,0,,,
37380,0,,,
37390,0,,,
37400,0,,,
37410,1,,,
37500,0,,,
37510,1,,,
37600,0,,,
37800,0,,,
37810,1,,,
37960,0,,,
38000,0,,,
38070,0,,,
38080,0,,,
38090,0,,,
38100,0,,,
38110,0,,,
38120,0,,,
38130,0,,,
38140,0,,,
38150,0,,,
38160,0,,,
38170,0,,,
38180,0,,,
38190,0,,,
38210,0,,,
38230,0,,,
38400,0,,,
38410,0,,,
38420,0,,,
38430,0,,,
38440,0,,,
38450,0,,,
38460,0,,,
38480,0,,,
38490,0,,,
38600,0,,,
38700,0,,,
38710,1,,,
38720,0,,,
38730,1,,,
38740,0,,,
38750,1,,,
38910,1,,,
39000,1,,,
39100,1,,,
39110,0,,,
39120,1,,,
39140,0,,,
39150,0,,,
39190,0,,,
39200,0,,,
39210,0,,,
39230,1,,,
39391,0,,,
39500,0,,,
39510,0,,,
39520,0,,,
39530,0,,,
39540,0,,,
39550,0,,,
39560,0,,,
39590,1,,,
39630,0,,,
39640,0,,,
39650,0,,,
39660,0,,,
39670,0,,,
39680,0,,,
39690,0,,,
39800,0,,,
39810,1,,,
39900,0,,,
40100,0,,,
40140,1,,,
40200,0,,,
40210,0,,,
40300,0,,,
40310,1,,,
40320,0,,,
40330,0,,,
40340,0,,,
40350,0,,,
40360,1,,,
40380,0,,,
40390,0,,,
40400,0,,,
40420,0,,,
40500,0,,,
40510,1,,,
40700,0,,,
40710,1,,,
40720,0,,,
40800,0,,,
40930,0,,,
40950,0,,,
40960,0,,,
40970,0,,,
40980,0,,,
40990,0,,,
41000,0,,,
41014,0,,,
41050,0,,,
41060,0,,,
41070,0,,,
41100,1,,,
41110,1,,,
41220,1,,,
41300,1,,,
41400,0,,,
41500,0,,,
41510,1,,,
41600,0,,,
41660,0,,,
41670,1,,,
41680,0,,,
41700,0,,,
41730,0,,,
41740,0,,,
41800,0,,,
41810,1,,,
41900,0,,,
42000,0,,,
42120,0,,,
42140,0,,,
42147,0,,,
42170,0,,,
42190,1,,,
42200,0,,,
42210,0,,,
42220,0,,,
42230,0,,,
42500,0,,,
42670,0,,,
42680,0,,,
42700,0,,,
42810,0,,,
42850,0,,,
42890,0,,,
42900,0,,,
42910,0,,,
42920,0,,,
42930,0,,,
42940,0,,,
42950,0,,,
42960,0,,,
42980,0,,,
42990,0,,,
43000,0,,,
43100,0,,,
43190,0,,,
43500,0,,,
43600,0,,,
44100,0,,,
44110,1,,,
44340,0,,,
44350,0,,,
44600,0,,,
44680,0,,,
44690,0,,,
45000,0,,,
45010,1,,,
45100,0,,,
45200,0,,,
45300,0,,,
45310,1,,,
45400,0,,,
45410,0,,,
45420,0,,,
45430,1,,,
45450,0,,,
45460,1,,,
45720,0,,,
45740,0,,,
45750,0,,,
45760,0,,,
45770,0,,,
46000,0,,,
46010,1,,,
46200,0,,,
46250,0,,,
46260,0,,,
46270,0,,,
46280,0,,,
46290,0,,,
46340,0,,,
46350,0,,,
46360,0,,,
46370,0,,,
46380,0,,,
46400,0,,,
46410,0,,,
46440,0,,,
46450,0,,,
46460,0,,,
46480,0,,,
46490,0,,,
46500,0,,,
46510,0,,,
46520,0,,,
46540,0,,,
46550,0,,,
46560,0,,,
46570,0,,,
46600,0,,,
46610,1,,,
46700,0,,,
46710,0,,,
46720,0,,,
46730,0,,,
46740,0,,,
46750,0,,,
46760,0,,,
46770,0,,,
46790,0,,,
46830,0,,,
46840,0,,,
46850,0,,,
47000,0,,,
47110,0,,,
47120,0,,,
47130,0,,,
47400,0,,,
47410,1,,,
47500,0,,,
47520,0,,,
47530,1,,,
47540,0,,,
47570,0,,,
47700,0,,,
47780,0,,,
47790,0,,,
47810,0,,,
47870,0,,,
47880,0,,,
47890,0,,,
47920,0,,,
48000,0,,,
48010,1,,,
48110,0,,,
48150,0,,,
48190,0,,,
48220,0,,,
48240,0,,,
48280,1,,,
48700,0,,,
48710,1,,,
48720,0,,,
48800,0,,,
48810,1,,,
48900,1,,,
48950,0,,,
49000,0,,,
49300,0,,,
49320,0,,,
49330,0,,,
49340,1,,,
49460,1,,,
49480,1,,,
49520,0,,,
49600,0,,,
49610,1,,,
49800,0,,,
49810,0,,,
49900,0,,,
50000,0,,,
50010,1,,,
50130,0,,,
50280,1,,,
50510,0,,,
50620,0,,,
50910,0,,,
50920,0,,,
50930,0,,,
50940,0,,,
50960,0,,,
50970,0,,,
50980,0,,,
50990,0,,,
51000,0,,,
51010,0,,,
51020,0,,,
51030,0,,,
51060,0,,,
55000,0,,,
55020,0,,,
55040,0,,,
55100,0,,,
55110,0,,,
55140,0,,,
55150,0,,,
55230,0,,,
55370,1,,,
55410,1,,,
56400,0,,,
56438,0,,,
57000,0,,,
57010,1,,,
57200,0,,,
57210,1,,,
57300,0,,,
57400,0,,,
57610,1,,,
57620,0,,,
57640,0,,,
57650,0,,,
57680,0,,,
57690,0,,,
57700,0,,,
57710,1,,,
57740,0,,,
57750,1,,,
57800,0,,,
57900,0,,,
58200,0,,,
58220,1,,,
58230,0,,,
58240,1,,,
58400,0,,,
58410,1,,,
58520,0,,,
58550,0,,,
58560,0,,,
58570,0,,,
58580,1,,,
58610,0,,,
60340,0,,,
60350,0,,,
60600,1,,,
60610,1,,,
60700,0,,,
60800,0,,,
60810,1,,,
61100,0,,,
61310,0,,,
61500,0,,,
61510,0,,,
61520,0,,,
61600,0,,,
61720,1,,,
61730,0,,,
62000,0,,,
62100,0,,,
63000,0,,,
63110,0,,,
63200,0,,,
63380,0,,,
63500,0,,,
63610,0,,,
63620,0,,,
63630,0,,,
63640,0,,,
63650,0,,,
63660,0,,,
63700,0,,,
63710,0,,,
63800,0,,,
63900,0,,,
63910,0,,,
63940,0,,,
63950,0,,,
63960,0,,,
64000,0,,,
65070,0,,,
65080,0,,,
65200,0,,,
65270,0,,,
65300,0,,,
65400,0,,,
65410,1,,,
65500,0,,,
65520,1,,,
65530,0,,,
65540,0,,,
65560,0,,,
65600,0,,,
65610,0,,,
65730,0,,,
65740,0,,,
65760,1,,,
65780,0,,,
65790,0,,,
65800,0,,,
65900,1,,,
65930,0,,,
65980,0,,,
67000,0,,,
67010,1,,,
67100,1,,,
67370,0,,,
70000,0,,,
70100,0,,,
70110,0,,,
70120,0,,,
70130,1,,,
70140,1,,,
70300,0,,,
70310,1,,,
70400,0,,,
70410,1,,,
70420,0,,,
70430,1,,,
70500,0,,,
70510,1,,,
70600,0,,,
70620,0,,,
70640,0,,,
70650,0,,,
70660,0,,,
70900,0,,,
70910,1,,,
71000,0,,,
71110,0,,,
71111,0,,,
71112,0,,,
71114,0,,,
71115,0,,,
71116,0,,,
71117,0,,,
71118,0,,,
71119,0,,,
71120,0,,,
71160,0,,,
71161,0,,,
71164,0,,,
71165,0,,,
71166,0,,,
71167,0,,,
71168,0,,,
71230,0,,,
71240,0,,,
71250,0,,,
71260,0,,,
71390,0,,,
72000,0,,,
72400,0,,,
72410,1,,,
72850,0,,,
72900,1,,,
73010,0,,,
73020,0,,,
73050,1,,,
73060,0,,,
73170,0,,,
73190,0,,,
73210,0,,,
78000,0,,,
80000,0,,,
80200,0,,,
80300,0,,,
80310,0,,,
80330,0,,,
80340,0,,,
80350,0,,,
80360,0,,,
90200,0,,,
90400,0,,,
90410,1,,,
90500,0,,,
90520,1,,,
91100,0,,,
91110,1,,,
91200,0,,,
91330,0,,,
91600,0,,,
91610,1,,,
91700,0,,,
91800,0,,,
91810,0,,,
91820,1,,,
91830,1,,,
91900,0,,,
92000,0,,,
92100,0,,,
92200,0,,,
92210,0,,,
92220,0,,,
92300,0,,,
92310,1,,,
92400,0,,,
92600,0,,,
92700,0,,,
92800,0,,,
92810,1,,,
92900,0,,,
93200,0,,,
94000,0,,,
94200,0,,,
94300,0,,,
94400,0,,,
94500,0,,,
94510,0,,,
94520,0,,,
94530,0,,,
94590,0,,,
94600,0,,,
94610,0,,,
94620,0,,,
95300,0,,,
95310,1,,,
95400,0,,,
95700,1,,,
95900,0,,,
96000,0,,,
96010,1,,,
96100,0,,,
96200,0,,,
96800,0,,,
96900,0,,,
97000,0,,,
97010,1,,,
97110,0,,,
97120,0,,,
97130,0,,,
97340,1,,,
98100,0,,,
98200,0,,,
98220,1,,,
98300,0,,,
98400,0,,,
98500,0,,,
98600,0,,,
98610,1,,,
98800,0,,,
98900,0,,,
99100,0,,,
99120,0,,,
99300,0,,,
99400,0,,,
99410,0,,,
99700,0,,,
99900,1,,,
99910,1,,,
100400,0,,,
102200,0,,,
102220,1,,,
102400,0,,,
102410,1,,,
102500,0,,,
102600,0,,,
102610,1,,,
102810,0,,,
102840,0,,,
102850,0,,,
104000,0,,,
104020,0,,,
104100,0,,,
104200,1,,,
104300,1,,,
104600,0,,,
104900,0,,,
105000,0,,,
105100,0,,,
105300,0,,,
105310,1,,,
105420,0,,,
105600,0,,,
105700,0,,,
105710,1,,,
105800,0,,,
107100,0,,,
107110,1,,,
107200,0,,,
107210,1,,,
107300,0,,,
107310,0,,,
107410,0,,,
107600,1,,,
107610,1,,,
108110,0,,,
108210,1,,,
108500,0,,,
108600,0,,,
108700,0,,,
108710,0,,,
108800,0,,,
109200,0,,,
109500,0,,,
109600,1,,,
109700,0,,,
109720,1,,,
110400,0,,,
110500,1,,,
110520,1,,,
110600,0,,,
110610,0,,,
110630,0,,,
110800,0,,,
111000,0,,,
111010,0,,,
111020,1,,,
111030,1,,,
111100,0,,,
111300,0,,,
111400,0,,,
111600,0,,,
111610,1,,,
111800,0,,,
111900,0,,,
112100,0,,,
112110,1,,,
113020,0,,,
113200,0,,,
113400,1,,,
113420,1,,,
115100,0,,,
115110,0,,,
115120,0,,,
115200,0,,,
115210,0,,,
115220,0,,,
115320,0,,,
115800,0,,,
116100,0,,,
116120,0,,,
200010,0,,,
200020,0,,,
200030,1,,,
200080,0,,,
200130,0,,,
200150,0,,,
200170,0,,,
200190,0,,,
200210,1,,,
200230,0,,,
200240,1,,,
200260,0,,,
200370,0,,,
200390,1,,,
200410,0,,,
200490,0,,,
200510,0,,,
200550,0,,,
200570,1,,,
200650,1,,,
200670,0,,,
200710,0,,,
200900,0,,,
200910,0,,,
200960,0,,,
200980,0,,,
200990,0,,,
201000,0,,,
201010,0,,,
201060,1,,,
201070,1,,,
201090,1,,,
201120,1,,,
201160,1,,,
201170,1,,,
201210,1,,,
201230,1,,,
201271,0,,,
201290,0,,,
201420,0,,,
201430,1,,,
201480,0,,,
201490,0,,,
201510,0,,,
201570,0,,,
201680,1,,,
201720,1,,,
201790,0,,,
201810,0,,,
201830,0,,,
201870,0,,,
202070,0,,,
202130,0,,,
202170,0,,,
202200,0,,,
202290,1,,,
202310,0,,,
202370,0,,,
202410,0,,,
202530,0,,,
202610,1,,,
202670,0,,,
202690,0,,,
202710,0,,,
202730,0,,,
202750,0,,,
202860,0,,,
202970,0,,,
203140,0,,,
203160,0,,,
203210,0,,,
203290,1,,,
203350,0,,,
203510,0,,,
203530,1,,,
203560,0,,,
203630,0,,,
203650,0,,,
203670,1,,,
203750,0,,,
203770,1,,,
203830,0,,,
203970,1,,,
203990,0,,,
204010,1,,,
204030,0,,,
204050,1,,,
204060,0,,,
204100,0,,,
204120,0,,,
204180,0,,,
204220,0,,,
204240,0,,,
204260,1,,,
204300,1,,,
204340,0,,,
204360,0,,,
204390,0,,,
204410,1,,,
204440,0,,,
204450,0,,,
204530,0,,,
204560,0,,,
204580,0,,,
204610,1,,,
204630,0,,,
204680,1,,,
204860,0,,,
204880,0,,,
204920,1,,,
204940,0,,,
205020,0,,,
205060,0,,,
205070,0,,,
205080,0,,,
205100,0,,,
205230,0,,,
205250,0,,,
205270,0,,,
205370,1,,,
205530,0,,,
205550,0,,,
205610,0,,,
205650,0,,,
205690,0,,,
205700,1,,,
205710,1,,,
205730,0,,,
205750,1,,,
205810,0,,,
205830,0,,,
205840,0,,,
205870,0,,,
205910,0,,,
205950,0,,,
205990,0,,,
206020,0,,,
206040,0,,,
206060,0,,,
206190,0,,,
206230,0,,,
206250,0,,,
206290,1,,,
206370,0,,,
206410,0,,,
206420,0,,,
206440,0,,,
206480,1,,,
206500,1,,,
206610,0,,,
206650,1,,,
206690,0,,,
206730,1,,,
206760,0,,,
207000,0,,,
207020,0,,,
207040,0,,,
207080,0,,,
207100,1,,,
207130,1,,,
207140,0,,,
207170,0,,,
207190,0,,,
